상호명,도로명주소,상권업종중분류명,경도,위도,e음카드
해물나라,인천광역시 부평구 평천로 411-4,한식,126.736213230941,37.5176253089179,
역전우동인천,인천광역시 서구 중봉대로586번길 22,일식,126.651349002829,37.5308031313431,
미친쭈꾸미,인천광역시 부평구 부평문화로16번길 13,한식,126.719940162783,37.4922516524695,
도시곱창,인천광역시 남동구 장승남로47번길 32-18,한식,126.738559318969,37.4449192982883,
수문통육회,인천광역시 동구 수문통로 19-1,한식,126.63261096651,37.4782900713183,
부여곱창,인천광역시 미추홀구 제일로27번길 14,한식,126.673437529348,37.4596600071624,
이랴이랴,인천광역시 미추홀구 한나루로 356,한식,126.662359289437,37.4398697321735,
대한칡냉면,인천광역시 부평구 부평대로 102,한식,126.722465320063,37.5004657572265,
기버케밥,인천광역시 미추홀구 재넘이길29번길 31,서양식,126.664906614553,37.4463822790635,
춘리마라탕,인천광역시 남동구 서창남로 71,중식,126.748478266423,37.4255600172939,
두손메밀_,인천광역시 미추홀구 용정공원로83번길 43,한식,126.647090650886,37.447627878373,
썬포차,인천광역시 서구 완정로156번길 18,한식,126.660492859022,37.6025757508953,
카리스식당,인천광역시 계양구 안남로 491,한식,126.710680859047,37.5269629537254,
청우사리원냉면,인천광역시 서구 청라커낼로329번길 11,한식,126.643328021164,37.5378610104026,
우리동네족발,인천광역시 서구 승학로236번길 28,한식,126.675607609405,37.5433240309435,
매운애,인천광역시 미추홀구 경인남길30번길 45,한식,126.656982381416,37.4518466954028,
명동동태찌개마을,인천광역시 중구 서해대로454번길 3,한식,126.635313663023,37.4665223015311,
교반,인천광역시 미추홀구 미추로28번길 21,한식,126.64813709503,37.463074283803,
두루메청국장,인천광역시 미추홀구 아암대로45번길 83-14,한식,126.640350983056,37.4555995102104,
귀한족발,인천광역시 연수구 먼우금로 94,한식,126.670434596891,37.407293842338,
버텍스,인천광역시 서구 청라라임로138번길 4-9,서양식,126.654058207344,37.5394606646285,
복춘원,인천광역시 부평구 부평대로17번길 28,중식,126.721215182208,37.4929934917702,
이모밥집,인천광역시 동구 송림로 112-1,한식,126.647227077585,37.4763253729818,
탕화쿵푸마라탕계양점,인천광역시 계양구 오조산로89번길 12,중식,126.737631158514,37.5390992810972,
호시타코야끼,인천광역시 미추홀구 경인로 372,서양식,126.681254047699,37.4581856740363,
익선에프앤비,인천광역시 남동구 구월남로 125,한식,126.703470840896,37.4535132075252,
마시안제면소,인천광역시 중구 마시란로 40,한식,126.421233481789,37.4265551790603,
불로연탄집마전점,인천광역시 서구 가현로117번길 40,한식,126.665600080125,37.6101856433288,
토고리옛날막창,인천광역시 연수구 옥련로 147,한식,126.655859218542,37.4256420243177,
이우철한방누룽지삼계탕,인천광역시 남동구 도림북로 54,한식,126.733812560415,37.4259153399616,
풍일각,인천광역시 서구 검단로502번길 13,중식,126.660789703727,37.6020450224742,
하와이조개,인천광역시 부평구 시장로30번길 20,한식,126.726858090107,37.4929165726459,
신카츠,인천광역시 미추홀구 주안로90번길 16,일식,126.679413038162,37.4631722808638,
석모도정식당,인천광역시 강화군 삼산면 삼산남로 388,한식,126.357099458268,37.6672911137415,
황제갈비살,인천광역시 미추홀구 낙섬중로 15,한식,126.63586863534,37.4499815111463,
뒷골목돗갈비,인천광역시 서구 청마로167번안길 11,한식,126.675585160936,37.5928695175221,
보배반점,인천광역시 연수구 벚꽃로 114,중식,126.678095802495,37.4170999804861,
닭사랑,인천광역시 남동구 구월로 121,한식,126.703853082094,37.4568929527618,
목구멍,인천광역시 미추홀구 토금중로 16,한식,126.635229087305,37.4536826846631,
윤반장계양점,인천광역시 계양구 주부토로495번길 5,한식,126.727632828838,37.5380044566028,
별미감자탕,인천광역시 부평구 길주남로 104,한식,126.733298351133,37.5039235336762,
